"IDVenta","Unidades","Ingresos por productos (MXN)","Cargo por venta e impuestos","Costos de envío","Total (MXN)","Venta por publicidad","IDproducto","Canal de venta","Precio unitario de venta de la publicación (MXN)","Municipio/Alcaldía","Estado","Código postal","Forma de entrega","Transportista","Fecha Venta","FechaCamino","FechaEntrega"
"2000003804728445",1,177,-65.2900009155273,0,111.709999084473,"Sí","MLM797896213","Mercado Libre",177,"Nezahualcoyotl","Estado De México",57000,"Mercado Envíos Full","Mercado Envios","08/09/2022","2022/09/09 00:00:00","2022/09/09 00:00:00"
"2000003804533537",1,177,-65.2900009155273,0,111.709999084473,"Sí","MLM797896213","Mercado Libre",177,"Tultepec","Estado De México",54980,"Mercado Envíos Full","Mercado Envios","08/09/2022","2022/09/09 00:00:00","2022/09/09 00:00:00"
"2000003802321913",1,281,-88.9499969482422,0,192.050003051758,"Sí","MLM937274388","Mercado Libre",281,"Villa De Álvarez","Colima",28989,"Mercado Envíos Full","Mercado Envios","07/09/2022","2022/09/08 00:00:00","2022/09/08 00:00:00"
"2000004172052306",1,177,-65.2900009155273,-98,111.709999084473,"Sí","MLM797896213","Mercado Libre",177,"Xalapa","Veracruz",91020,"Mercado Envíos Full","Mercado Envios","07/09/2022","2022/09/07 00:00:00","2022/09/08 00:00:00"
"2000003801421707",1,185,-83.9000015258789,0,101.099998474121,"Sí","MLM797896213","Mercado Libre",185,"Morelia","Michoacán",58350,"Mercado Envíos Full","Mercado Envios","07/09/2022","2022/09/07 00:00:00","2022/09/08 00:00:00"
"2000003793601559",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Guadalajara","Jalisco",44820,"Mercado Envíos Full","Mercado Envios","07/09/2022","2022/09/07 00:00:00","2022/09/08 00:00:00"
"2000004169612598",1,166.25,-62.8400001525879,-89,103.410003662109,"Sí","MLM775876787","Mercado Libre",166.25,"Naucalpan","Estado De México",53100,"Mercado Envíos Full","Mercado Envios","07/09/2022","2022/09/07 00:00:00","2022/09/07 00:00:00"
"2000003800676271",1,185,-67.0999984741211,0,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Querétaro","Querétaro",76148,"Mercado Envíos Full","Mercado Envios","07/09/2022","2022/09/08 00:00:00","2022/09/08 00:00:00"
"2000003800625109",2,530.44,-170.710006713867,-44.560001373291,359.730010986328,"No","MLM759252135","Mercado Libre",265.220001220703,"Metepec","Estado De México",52172,"Correo y puntos de despacho","Mercado Envios","07/09/2022","2022/09/08 00:00:00","2022/09/08 00:00:00"
"2000003799264629",1,280.25,-88.7900009155273,-20.3199996948242,191.460006713867,"Sí","MLM937274388","Mercado Libre",280.25,"Progreso","Yucatán",97320,"Mercado Envíos Full","Mercado Envios","06/09/2022","2022/09/07 00:00:00","2022/09/08 00:00:00"
"2000003798976477",1,166.25,-62.8400001525879,0,103.410003662109,"Sí","MLM775876787","Mercado Libre",166.25,"Tultitlán","Estado De México",54927,"Mercado Envíos Full","Mercado Envios","06/09/2022","2022/09/07 00:00:00","2022/09/07 00:00:00"
"2000004161470890",1,166.25,-62.8400001525879,-94,103.410003662109,"Sí","MLM775876787","Mercado Libre",166.25,"Pachuca De Soto","Hidalgo",42083,"Mercado Envíos Full","Mercado Envios","06/09/2022","2022/09/07 00:00:00","2022/09/07 00:00:00"
"2000003798668437",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Zapopan","Jalisco",45130,"Mercado Envíos Full","Mercado Envios","06/09/2022","2022/09/06 00:00:00","2022/09/07 00:00:00"
"2000003798438641",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Chihuahua","Chihuahua",31125,"Mercado Envíos Full","Mercado Envios","06/09/2022","2022/09/06 00:00:00","2022/09/07 00:00:00"
"2000004163246828",1,185.25,-67.1699981689453,-98,118.080001831055,"Sí","MLM803274004","Mercado Libre",185.25,"Xalapa","Veracruz",91190,"Correo y puntos de despacho","Mercado Envios","06/09/2022","2022/09/06 00:00:00","2022/09/07 00:00:00"
"2000003798213305",1,185,-67.0999984741211,-10.2799997329712,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Iztapalapa","Distrito Federal",9850,"Mercado Envíos Full","Mercado Envios","06/09/2022","2022/09/06 00:00:00","2022/09/06 00:00:00"
"2000003798013667",2,310,-120.550003051758,-23.2000007629395,189.449996948242,"Sí","MLM797897673","Mercado Libre",155,"Puebla","Puebla",72150,"Correo y puntos de despacho","Mercado Envios","06/09/2022","2022/09/07 00:00:00","2022/09/07 00:00:00"
"2000003797897323",2,332.5,-125.680000305176,0,206.820007324219,"No","MLM775876787","Mercado Libre",166.25,"Tulancingo De Bravo","Hidalgo",43600,"Mercado Envíos Full","Mercado Envios","06/09/2022","2022/09/07 00:00:00","2022/09/07 00:00:00"
"2000003797629421",2,310,-120.550003051758,-28.2000007629395,189.449996948242,"No","MLM797897673","Mercado Libre",155,"Pátzcuaro","Michoacán",61600,"Correo y puntos de despacho","Mercado Envios","06/09/2022","2022/09/06 00:00:00","2022/09/07 00:00:00"
"2000003797517307",1,185.25,-67.1699981689453,-89,118.080001831055,"Sí","MLM803274004","Mercado Libre",185.25,"Huixquilucan","Estado De México",52790,"Correo y puntos de despacho","Mercado Envios","05/09/2022","2022/09/06 00:00:00","2022/09/07 00:00:00"
"2000003797141277",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Nezahualcoyotl","Estado De México",57000,"Mercado Envíos Full","Mercado Envios","05/09/2022","2022/09/06 00:00:00","2022/09/06 00:00:00"
"2000003796618845",1,185,-67.0999984741211,0,117.900001525879,"No","MLM797896213","Mercado Libre",185,"Juárez","Chihuahua",32472,"Mercado Envíos Full","Mercado Envios","05/09/2022","2022/09/05 00:00:00","2022/09/06 00:00:00"
"2000003796277291",2,370.5,-134.320007324219,0,236.179992675781,"Sí","MLM803274004","Mercado Libre",185.25,"Zapopan","Jalisco",45053,"Correo y puntos de despacho","Mercado Envios","05/09/2022","2022/09/06 00:00:00","2022/09/07 00:00:00"
"2000003796052447",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Naucalpan","Estado De México",53240,"Mercado Envíos Full","Mercado Envios","05/09/2022","2022/09/06 00:00:00","2022/09/06 00:00:00"
"2000003795959959",2,310,-120.550003051758,0,189.449996948242,"Sí","MLM797897673","Mercado Libre",155,"San Nicolás De Los Garza","Nuevo León",66478,"Mercado Envíos Full","Mercado Envios","05/09/2022","2022/09/05 00:00:00","2022/09/05 00:00:00"
"2000003795814009",3,555,-201.309997558594,0,353.690002441406,"Sí","MLM797896213","Mercado Libre",185,"Tecate","Baja California",21460,"Mercado Envíos Full","Mercado Envios","05/09/2022","2022/09/05 00:00:00","2022/09/06 00:00:00"
"2000003794895775",1,185,-67.0999984741211,0,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Tizayuca","Hidalgo",43808,"Mercado Envíos Full","Mercado Envios","04/09/2022","2022/09/05 00:00:00","2022/09/05 00:00:00"
"2000003794233845",1,185,-67.0999984741211,0,117.900001525879,"No","MLM797896213","Mercado Libre",185,"El Salto","Jalisco",45693,"Mercado Envíos Full","Mercado Envios","04/09/2022","2022/09/04 00:00:00","2022/09/06 00:00:00"
"2000004153193174",1,185,-67.0999984741211,-94,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Pachuca De Soto","Hidalgo",42064,"Mercado Envíos Full","Mercado Envios","04/09/2022","2022/09/05 00:00:00","2022/09/05 00:00:00"
"2000004152952620",1,295,-92.129997253418,-105,202.869995117188,"No","MLM937274388","Mercado Libre",295,"Durango","Durango",34139,"Mercado Envíos Full","Mercado Envios","04/09/2022","2022/09/04 00:00:00","2022/09/06 00:00:00"
"2000003793882301",1,185,-67.0999984741211,-26.2199993133545,117.900001525879,"Sí","MLM797896213","Mercado Libre",185,"Hermosillo","Sonora",83177,"Mercado Envíos Full","Mercado Envios","04/09/2022","2022/09/04 00:00:00","2022/09/05 00:00:00"
"2000003793841203",3,498.75,-188.520004272461,0,310.230010986328,"Sí","MLM775876787","Mercado Libre",166.25,"Gustavo A. Madero","Distrito Federal",7500,"Mercado Envíos Full","Mercado Envios","04/09/2022","2022/09/05 00:00:00","2022/09/05 00:00:00"
"2000003793377467",1,155,-60.2799987792969,-9.85000038146973,94.7200012207031,"Sí","MLM797897673","Mercado Libre",155,"Orizaba","Veracruz",94300,"Mercado Envíos Full","Mercado Envios","04/09/2022","2022/09/04 00:00:00","2022/09/05 00:00:00"
"2000003793090367",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Zumpango","Estado De México",55604,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/04 00:00:00","2022/09/04 00:00:00"
"2000003793031629",2,370,-134.210006713867,0,235.789993286133,"Sí","MLM797896213","Mercado Libre",185,"Venustiano Carranza","Distrito Federal",15460,"Mercado Envíos Full","Mercado Envios","03/09/2022","2022/09/04 00:00:00","2022/09/04 00:00:00"
